id,date,time,severity,casualties,number_of_casualties,number_of_vehicles,latitude,longitude
200101BS00620,2001-08-15,11:19:00,fatal,Pedestrian,1,1,51.517292,-0.217871
200101BS00780,2001-11-06,15:37:00,fatal,Pedestrian,Motorcycle rider/passenger,3,1,51.494705,-0.193397
200101CP00320,2001-09-24,13:28:00,fatal,Motorcycle rider/passenger,1,3,51.518102,-0.103249
200101CP00427,2001-12-03,01:27:00,fatal,Pedestrian,Car occupant,7,1,51.506436,-0.088171
200101DM00751,2001-04-16,18:41:00,fatal,Pedestrian,1,1,51.516413,-0.178269
200101DM01198,2001-06-20,19:27:00,fatal,Pedestrian,1,1,51.516218,-0.131578
200101DM01454,2001-07-26,18:40:00,fatal,Motorcycle rider/passenger,1,1,51.48575,-0.149676
200101DM01894,2001-09-27,10:50:00,fatal,Cyclist,1,2,51.510954,-0.179928
200101DM02300,2001-11-14,13:13:00,fatal,Pedestrian,1,1,51.519973,-0.170055
200101DM02497,2001-12-12,17:45:00,fatal,Pedestrian,1,1,51.490045,-0.142588
200101EK00170,2001-02-02,01:55:00,fatal,Pedestrian,1,1,51.528367,-0.13209
200101EK00227,2001-02-15,08:20:00,fatal,Cyclist,1,2,51.564477,-0.140854
200101EK00238,2001-02-09,16:55:00,fatal,Motorcycle rider/passenger,1,2,51.546283,-0.12775
200101EK00939,2001-07-24,06:50:00,fatal,Cyclist,1,2,51.555446,-0.178585
200101EK01006,2001-08-08,16:38:00,fatal,Motorcycle rider/passenger,1,2,51.521992,-0.110295
200101EK01305,2001-11-06,03:15:00,fatal,Pedestrian,1,1,51.553738,-0.155573
200101EK01441,2001-12-18,19:57:00,fatal,Pedestrian,Motorcycle rider/passenger,2,2,51.556129,-0.147542
200101FH00077,2001-02-02,10:25:00,fatal,Motorcycle rider/passenger,1,2,51.514312,-0.240903
200101FH00151,2001-02-28,00:24:00,fatal,Pedestrian,1,1,51.493421,-0.245021
200101FH00161,2001-03-05,13:04:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.490604,-0.213294
200101FH00341,2001-05-02,07:30:00,fatal,Cyclist,1,2,51.487682,-0.222195
200101FH00926,2001-11-16,15:30:00,fatal,Pedestrian,1,1,51.490775,-0.206805
